RB	En
1552.en	The population is massacred and the survivors are sold into slavery.
1553.en	Sexually active males are an exception, establishing and defending territories where they attract females.
1554.en	The city is known worldwide as the home of the University of Oxford, the oldest university in the English-speaking world.
1555.en	The Universal Media Disc (UMD) is a discontinued optical disc medium developed by Sony for use on their PlayStation Portable handheld gaming and multimedia platform.
1556.en	Another possibility is that planets disrupt the flow of material away from the star as the nebula forms.
1557.en	His research has had major significance for theoretical physics as well as purely mathematical disciplines including number theory.
1558.en	In recent years, the city has been experiencing an economic and cultural boom.
1559.en	In a sense, the pangram is the opposite of the lipogram, in which the aim is to omit one or more letters.
1560.en	Most prominent are the specific behavioural and physical adaptations that are the outcome of natural selection.
1561.en	It appears that he spent his remaining years quietly.
1562.en	It was erected on the exact site of the famous Lighthouse of Alexandria, which was one of the Seven Wonders of the Ancient World.
1563.en	The first section (paragraphs 2–14) is concerned with Augustus' political career; it records the offices and political honours that he held.
1564.en	Only fragments of the language have survived, the main evidence being individual words quoted in Latin texts.
1565.en	As a woman's estrogen levels decrease with menopause, her risk of urinary tract infections increases due to the loss of protective vaginal flora.
1566.en	This is her first time being in love with somebody.
1567.en	Early attempts at human-powered flight were unsuccessful because of the difficulty of achieving the high power-to-weight ratio.
1568.en	Efforts among researchers are now underway to establish and encourage usage of a unified and more consistent nomenclature.
1569.en	The duke travelled constantly around the duchy, confirming charters and collecting revenues.
1570.en	The film was nominated for an Oscar.
1571.en	Nestor's text was extensively edited by the hegumen Sylvester who appended his name at the end of the chronicle.
1572.en	Among the victims were women and children.
1573.en	Physical examination may sometimes reveal low blood pressure, high heart rate, or low oxygen saturation.
1574.en	Pneumonia has been a common disease throughout human history.
1575.en	Complications may occur in particular in the elderly and those with underlying health problems.
1576.en	The larvae then pass through the stomach for a second time into the intestine, where they become adult worms.
1577.en	Treatment at this stage solely limits further progression of the disease and has a limited effect on damage which has already occurred.
1578.en	In the developed world these infections are most common in people returning from travel or in immigrants.
1579.en	Antibiotic choice depends initially on the characteristics of the person affected, such as age, underlying health, and the location the infection was acquired.
1580.en	The spreading of organisms is facilitated when risk factors are present.
1581.en	The study began in 1932, when syphilis was a widespread problem and there was no safe and effective treatment.
1582.en	These criteria use the self-reported experiences of the person and reported abnormalities in behavior, followed by a clinical assessment by a mental health professional.
1583.en	The gas is heavier than air.
1584.en	The strategic position of the Ardennes has made it a battleground for European powers for centuries.
1585.en	He also established the relationship between barometric pressure and height above sea level.
1586.en	He began to teach composition at the Leningrad Conservatory, which provided some financial security but interfered with his creative work.
1587.en	When Atlas returned with the apples, he did not want to retake the weight of the world back.
1588.en	The country was facing near bankruptcy.
1589.en	It can stay under water for up to 40 minutes.
1590.en	These eggs originate from the feces of infected people.
1591.en	In winter it is very cold and summer is very hot.
1592.en	Combinations of two or more lifestyle modifications can achieve even better results.
1593.en	During the 19th century, views on obesity changed in the Western world.
1594.en	June is the sixth month of the year in the Gregorian calendar, with a length of 30 days.
1595.en	Testing is not able to distinguish between acute and chronic infections.
1596.en	A robot must obey the orders given it by human beings, except where such orders would conflict with the First Law.
1597.en	And now, like all great things, it has come time for it to end.
1598.en	This enables the free movement of goods, services, people and capital in the internal market.
1599.en	The water was then deep enough to carry larger boats.
1600.en	Later he fought against the Turks in Hungary.
1601.en	The bomb went off, but Hitler survived.
1602.en	Active ergs are limited to regions that receive, on average, no more than 150 mm of annual precipitation.
1603.en	Infection occurs by eating food or drink contaminated with Ascaris eggs from feces.
1604.en	Over 230,000 German and Italian troops were taken as prisoners of war, including most of the Afrika Korps.
1605.en	If there is anything virtuous, lovely, or of good report or praiseworthy, we seek after these things.
1606.en	In 15–20% of active cases, the infection spreads outside the lungs, causing other kinds of tuberculosis.
1607.en	Diagnosis in young healthy women can be based on symptoms alone.
1608.en	A diagnosis of the disease can usually be made based on the signs and symptoms.
1609.en	However, those with other medical conditions, the elderly, or those with significant trouble breathing may require more advanced care.
1610.en	We believe that men will be punished for their own sins, and not for Adam's transgression...
1611.en	Michael Faraday discovers electromagnetic induction.
1612.en	It is visited annually by some 100,000 tourists.
1613.en	The act of taking one's life for the benefit of others is known as altruistic suicide.
1614.en	The three colours of the stripes are meant to symbolise solidarity, peace and tranquility, courage, and decisiveness.
1615.en	Though Brunel's projects were not always successful, they often contained innovative solutions to long-standing engineering problems.
1616.en	These symptoms may vary from mild to severe and in healthy women last an average of six days.
1617.en	Some countries recommend it routinely for children and those at higher risk who have not previously been vaccinated.
1618.en	The product is called a 3D model.
1619.en	Karl Marx and Friedrich Engels published The Communist Manifesto.
1620.en	Where do the data on the EU Open Data Portal come from?
1621.en	Acetone and phenol are used as feeder materials in the synthesis of many different substances.
1622.en	The French chemist Antoine Laurent Lavoisier later claimed to have discovered the new substance independently.
1623.en	Since its premiere, MTV revolutionized the music industry.
1624.en	The king marched through Edwin's lands and built a castle at Warwick.
1625.en	The original BSD license was used for its namesake, the Berkeley Software Distribution (BSD), a Unix-like operating system.
1626.en	During his search for argon, Ramsay also managed to isolate helium for the first time while heating cleveite, a mineral.
1627.en	Russell began publishing a monthly religious journal, Zion's Watch Tower and Herald of Christ's Presence.
1628.en	His father, Eddie Rashbaum, played the trumpet.
1629.en	Other units of time, the minute, hour, and day, are accepted for use with the modern metric system, but are not part of it.
1630.en	Many oxides of the transition metals are non-stoichiometric compounds, with slightly less metal than the chemical formula would show.
1631.en	The Japanese warships then sighted, opened fire, and damaged the South Dakota.
1632.en	Consequently all former powers of the President of the Reich are demised to the Führer and Chancellor of the Reich Adolf Hitler.
1633.en	He sent Jackson on another flanking march in an attempt to interpose his army between Pope and Washington.
1634.en	Like the prisoner's dilemma, everyone is worse off by playing the unique equilibrium than they would have been if they collectively pursued another strategy.
1635.en	In 944, Edmund was successful in reconquering Northumbria.
1636.en	William's lands were divided after his death: Normandy went to his eldest son, Robert Curthose, and his second surviving son, William Rufus, received England.
1637.en	The town held out for 18 days, and after it fell to William he built a castle to secure his control.
1638.en	He published several catalogues of the museum collections that included comprehensive discussions of animal groups as well as descriptions of new species.
1639.en	The rod numeral system is a positional numeral system used by the Chinese in mathematics.
1640.en	Alaska celebrates the purchase each year on the last Monday of March, which is known as Seward's Day.
1641.en	He was baptised at Sorgenfri Palace on 9 April 1899.
1642.en	Heavy water is used as a neutron moderator and coolant for nuclear reactors.
1643.en	Eritrea officially became a colony of Italy.
1644.en	For the rest of the year the highland roads are closed.
1645.en	For example, in the solar wind they interact with the Earth's magnetosphere giving rise to Birkeland currents and the aurora.
1646.en	The following summer, the band had their first time playing festivals in Finland and other countries.
1647.en	He died in the fifty-ninth year of his reign according to all the sources available.
1648.en	Priestley visited Lavoisier and told him about his experiment and how he liberated the new gas.
1649.en	During the Hellenistic period, some city-states established public schools.
1650.en	Over the following two decades, prefectural level cities have come to replace the vast majority of Chinese prefectures; the process is still ongoing.
1651.en	The bombardment, which had been carefully targeted by means of aerial photography, began on 22 September.
1652.en	Partnership for Peace is a NATO program aimed at creating trust between NATO and other states in Europe and the former Soviet Union.
1653.en	Therefore, it was surmised that H II regions must be regions in which new stars were forming.
1654.en	The new Italian government decided to confiscate many properties of the Church, including the library of the Collegio.
1655.en	From this day all generations will call me blessed, the Almighty has done great things for me, and holy is his Name.
1656.en	Several countries use it as their official currency, and in many others, it is the de facto currency.
1657.en	For financial and scripting reasons, the original book was divided into two films which were shot consecutively.
1658.en	After her doctorate, Payne studied stars of high luminosity in order to understand the structure of the Milky Way.
1659.en	In 1885, Toppan began training to be a nurse at Cambridge Hospital.
1660.en	Constipation is a symptom, not a disease.
1661.en	Jupiter is usually the fourth brightest object in the sky (after the Sun, the Moon and Venus); at times Mars appears brighter than Jupiter.
1662.en	After Ruprecht's death in 1410, his land was divided between his four sons.
1663.en	During World War II, Parisian members of the French Resistance used the tunnel system.
1664.en	Pair programming is an agile software development technique in which two programmers work together at one workstation.
1665.en	Luanda is the capital and largest city in Angola.
1666.en	Hungary also survived a Mongol invasion in 1285.
1667.en	Here they establish a plan to prank their target.
1668.en	If he fails, he will be destroyed.
1669.en	I is the ninth letter of the Latin alphabet.
1670.en	This work later was extended to the Magellanic Clouds, adding a further 2,000,000 observations of variable stars.
1671.en	His son Titus remained in Judaea to deal with the Jewish rebellion.
1672.en	Subsequent military and economic tensions between Britain and Germany were major causes of the First World War, during which Britain relied heavily upon its empire.
1673.en	Before long, they had control of the entire island.
1674.en	Windows NT 3.1 was available in two editions: Windows NT 3.1 for workstations, and Windows NT 3.1 Advanced Server for servers.
1675.en	One way to think of the Euclidean plane is as a set of points satisfying certain relationships, expressible in terms of distance and angle.
1676.en	For this reason, he does not make a clear distinction between philosophy and theology, because he believes they are both concerned with the same subject.
1677.en	In 1994, Lisbon was the European Capital of Culture.
1678.en	Riot police suppressed a peaceful student demonstration in Prague.
1679.en	Israel and the Vatican established diplomatic relations.
1680.en	During the last years of his life his health had been ruined by alcohol abuse.
1681.en	The New Yorker is an American magazine featuring journalism, commentary, criticism, essays, fiction, satire, cartoons, and poetry.
1682.en	She then studied variable stars, making over 1,250,000 observations with her assistants.
1683.en	The Berkeley Software Distribution, known as BSD, is the UNIX derivative distributed by the University of California, Berkeley, starting in the 1970s.
1684.en	Its territory included most of the present Belgian provinces of Liège and Limburg, and some exclaves in other parts of Belgium and the Netherlands.
1685.en	A light-year is the distance that light travels through a vacuum in one year.
1686.en	At the latest, it was probably finished by 1100 when Bishop Ranulf Flambard was imprisoned there.
1687.en	Hitler approved the use of Spanish volunteers.
1688.en	He is notable for being the first Eastern Emperor to legislate in Greek rather than Latin.
1689.en	The Catherine Wolfe Bruce Gold Medal is awarded every year by the Astronomical Society of the Pacific for outstanding lifetime contributions to astronomy.
1690.en	The first progress on a solution was made by Carl Friedrich Gauss, hence its name.
1691.en	The phenomenon is most apparent in Japan but exists to some degree in other countries as well.
1692.en	After five years or more large areas of skin may die, leaving a scar.
1693.en	The French navy occupied the city to prevent British conquest of the area.
1694.en	Each country had 10 jury members who each awarded 1 point to their favourite song.
1695.en	The clock has its original medieval face.
1696.en	In 1975 and in 2012, the award was not given.
1697.en	Cooper originally considered only the case of an isolated pair's formation in a metal.
1698.en	Artificial horizontal gene transfer is a form of genetic engineering.
1699.en	It won the support of many wealthy and influential backers.
1700.en	His pupil, Chares of Lindos, constructed the Colossus of Rhodes, one of the Seven Wonders of the Ancient World.
1701.en	One corresponding concept in mechanics is the principle of least action.
1702.en	The Dutch colonial settlement of New Amsterdam later became New York City.
1703.en	The problem is named after Basel, hometown of Euler as well as of the Bernoulli family who unsuccessfully attacked the problem.
1704.en	The 26 Cantons of Switzerland demonstrate autonomism in a federal state.
1705.en	It lies on the Mekong river.
1706.en	UC Berkeley physics professor J. Robert Oppenheimer was named scientific head of the Manhattan Project in 1942.
1707.en	On her seventh attempt, she succeeded in crossing the Pyrenees to Spain.
1708.en	Eleven days after the death of Clement VIII, 62 cardinals entered the conclave.
1709.en	The town itself must have originated from that era.
1710.en	William's death thus ended the personal union of Britain and Hanover, which had persisted since 1714.
1711.en	Within two years after Umma-Khan's death, the khanate voluntarily submitted to Russian authority.
1712.en	Besides the anime series, Studio Pierrot has developed eleven movies and eleven original video animations (OVAs).
1713.en	The ChemSpider database is owned by the Royal Society of Chemistry.
1714.en	The film got a very wide and good reception worldwide.
1715.en	Their second album, A Year Without Rain was released on September 17, 2010.
1716.en	The mixture of nitric and hydrochloric acids was known as aqua regia (royal water), celebrated for its ability to dissolve gold, the king of metals.
1717.en	Yes, across Europe, this wall will fall.
1718.en	The Norman Conquest of London manifested itself not only with a new ruling class, but in the way the city was structured.
1719.en	In April 2017, the song was given an English remix featuring Canadian singer Justin Bieber.
1720.en	The flaw in Dalton's theory was corrected in principle in 1811 by Amedeo Avogadro.
1721.en	A new post-war military, the Reichswehr, was established on 23 March 1921.
1722.en	It is named after John Langdon Down, a British doctor who fully described the syndrome in 1866.
1723.en	Also, Windows 2000 compatibility was removed.
1724.en	As a result, Sandomierz lost its role as an administrative capital.
1725.en	Because most of the cathedral was built in only 38 years, it has a single consistent architectural style, Early English Gothic.
1726.en	The Queen did sustain injury when she was assaulted by a possibly insane ex-army officer, Robert Pate.
1727.en	In a similar attack, unemployed Irishman William Hamilton fired a powder-filled pistol at Victoria's carriage as it passed along Constitution Hill, London.
1728.en	The innermost ward was transformed and the palace buildings removed.
1729.en	This is a day spent honoring the dead.
1730.en	It was soon understood that Columbus had not reached Asia but had found a new continent, the Americas.
1731.en	The same opinion has been put forth by Western scholars.
1732.en	Wangarĩ Muta Maathai was a Kenyan environmental political activist and Nobel laureate.
1733.en	By the early morning hours, the whole of Greece was in the hands of the colonels.
1734.en	This is the first time in the tournament's history that no winner was declared.
1735.en	There they built cabins and sod houses for the winter.
1736.en	She only appears in the books.
1737.en	It is more likely that this is the day he was buried.
1738.en	In recent years Nueva Germania has tempered into a more genial destination, with bed and breakfasts and a makeshift historical museum.
1739.en	On their way out, a strange man watches them.
1740.en	Each soldier had to provide his own weapons, armor, horse, and food.
1741.en	Rudolf Virchow stated that new cells come from pre-existing cells by cell division (omnis cellula ex cellula).
1742.en	He loves his son very much.
1743.en	The Romanian army attacked anyway.
1744.en	Passengers of all nationalities transiting in Qatar by flying Qatar Airways are eligible to apply for a free of charge 96 hours Transit Visa.
1745.en	Scalability: the system should function efficiently even with thousands or millions of nodes.
1746.en	Although it was mainly a radio programme, there were cameras in the studio for the benefit of the few Europeans who possessed a television.
1747.en	Oleskiw asked Genik if he could accompany and lead his second contingent of Ukrainians on their voyage to Canada and help them get settled.
1748.en	As a result, she was hired to write songs for Britney Spears, New Kids on the Block, Fergie, and The Pussycat Dolls.
1749.en	Occasionally, multiple lesions may be present (~40%), with multiple lesions being more common when coinfected with HIV.
1750.en	Constitutionally, the Soviet Union was a federation.
1751.en	Events at Ulm were now reaching a conclusion.
1752.en	National advertisement market consists of media projects.
1753.en	In 1990, she and Edoardo Bennato sang "Un'estate italiana", the official song of the Football World Cup 1990 composed by Giorgio Moroder.
1754.en	In September 1996 the Taliban captured Kabul.
1755.en	Conan the Barbarian is a character created by Robert E. Howard.
1756.en	For the album, the Jonas Brothers covered two hit songs by UK band Busted – "Year 3000" and "What I Go to School For".
1757.en	EBBA Award winners perform live during the show, as well as during the festival itself.
1758.en	They seem to have been associated with the making of bread.
1759.en	Both flags must be at the same height and of equal size.
1760.en	To complete his reconquest of Spain, Napoleon advanced on Madrid with 40,000 men.
1761.en	Other loci have shown a protective effect, such as HLA-C554 and HLA-DRB1*11.
1762.en	The Council had to carefully maneuver between the Germans, whose troops were present in Lithuania, and the demands of the Lithuanian people.
1763.en	One who is deaf cannot hear music.
1764.en	Their daughters married into a number of western European royal and princely families.
1765.en	Some have competed in different weight classes.
1766.en	Epitheres are one of the most successful groups of animals.
1767.en	It is found throughout Europe except Iceland.
1768.en	This is known as the geocentric model of the Universe, or the Ptolemaic system, named after Ptolemy.
1769.en	The Essonne department was created on 1 January 1968, from the southern portion of the former department of Seine-et-Oise.
1770.en	March 18 Cosmonaut Alexei Leonov leaves his Voskhod 2 spacecraft for 12 minutes, becomes the first person to walk in space.
1771.en	In primary TB disease (some 1–5% of cases), this occurs soon after the initial infection.
1772.en	This glottal stop is never written at the beginning of a word.
1773.en	The most common cause of infection is Escherichia coli, though other bacteria or fungi may rarely be the cause.
1774.en	An example is the Java programming language.
1775.en	It is based on a standard established by the Congress of Orientalists at Athens in 1912.
1776.en	Guatemala and the leaders of the Guatemalan National Revolutionary Unity sign a peace accord that ends the 36-year Guatemalan Civil War.
1777.en	The United Nations General Assembly adopts the Universal Declaration of Human Rights.
1778.en	The issue is more complex for priests.
1779.en	The act was passed on 23 March 1933, legally granting Hitler dictatorial powers.
1780.en	It does not offer support for OpenDocument formats.
1781.en	The Roman calendar was structured around religious observances.
1782.en	It contains a method, now known as the Newton–Raphson method, for approximating the roots of an equation.
1783.en	It is the sum of points assigned for five factors: level of consciousness, cyanosis, stridor, air entry, and retractions.
1784.en	Vaccination of infants against Haemophilus influenzae type B began in 1988 and led to a dramatic decline in cases shortly thereafter.
1785.en	It was a record of Burgundian customary law and is typical of the many Germanic law codes from this period.
1786.en	If inflation occurred, exponential expansion would push large regions of space well beyond our observable horizon.
1787.en	The division of the Goths is first attested in 291.
1788.en	In 2008, WestNet will be building a loading point for iron ore traffic.
1789.en	When they reach the final door they discover it has been padlocked.
1790.en	The people have right to ask the ombudsman for intervention.
1791.en	Both her parents are active members of the local Republican political party.
1792.en	As the spectra of these stars vary due to the Doppler effect, they are called spectroscopic binaries.
1793.en	Herz was a believer in stylistic restoration but practised it with moderation, good taste and common sense.
1794.en	To keep the Ottoman Empire from joining the Triple Entente, Germany encouraged Romania and Bulgaria to enter the Central Powers.
1795.en	Leo unsuccessfully attempted to reconquer North Africa from the Vandals.
1796.en	Although a few mineral grains are known to be Hadean, the oldest rock formations exposed on the surface of the Earth are Archean.
1797.en	Another conductor that he was very impressed with was Hans Knappertsbusch.
1798.en	In the past vegetable dishes were essential, but meat consumption has increased.
1799.en	The oldest book is a Latin bible dating from 1491.
1800.en	The countries with the greatest absolute numbers of suicides are China and India, accounting for over half the total.
1801.en	Like its predecessor, Windows 98 is a hybrid 16-bit and 32-bit monolithic product with the boot stage based on MS-DOS.
1802.en	The club was founded on 22 May 1898 as FC Olympia Darmstadt.
1803.en	IRC is an open protocol that uses TCP and, optionally, TLS.
1804.en	The Peter Pan character first appeared in print in the 1902 novel The Little White Bird, written for adults.
1805.en	The date of the battle, June 15, is still celebrated as Valdemarsdag (the national "flag day") in present-day Denmark.
1806.en	Members of Monty Python greatly admired him.
1807.en	Worldwide, 30% of suicides are from pesticide poisonings.
1808.en	In a moderate or severe exacerbation, corticosteroids by mouth are added to these treatments.
1809.en	The war led to a series of major shifts on the Yugoslav side.
1810.en	Drive is sent to the front wheels.
1811.en	The EBBA Awards were launched by the European Commission and are a European Union award.
1812.en	Arc stands on the border between forest and field.
1813.en	Indeed, they rejected the Buddhist and Taoist religions.
1814.en	His early work is influenced by Expressionism.
1815.en	1 is the best grade, and 6 is the worst.
1816.en	Articles 40–50 govern ratification, entry into force, and amendment of the Convention.
1817.en	He also had his own publishing house and a bookshop.
1818.en	That same year, she suffered a personal tragedy when her son died.
1819.en	A fishing accident resulted in the deaths of one-third of Hestur's men.
1820.en	Financial difficulties forced him to abandon his studies.
1821.en	Real numbers are generalized to complex numbers.
1822.en	It is also customizable, so users can change the editor's theme, keyboard shortcuts, and preferences.
1823.en	He started his rabbinical career in Switzerland as a community Rabbi in the town of Biel, a bilingual French/German town.
1824.en	The first issue of London's first daily newspaper, the Daily Courant, was published in Fleet Street.
1825.en	It is estimated that sinusitis occurs in 8% and ear infection in 30% of cases.
1826.en	The first artistic director of the theater group Rahmonberdi Madazimov was the first founder and organizer of the theater movement in Kyrgyzstan.
1827.en	About 8–10 days later, the virus spreads to other tissues including the mosquito's salivary glands and is subsequently released into its saliva.
1828.en	Hostilities between Philip and John resumed immediately.
1829.en	Bacteria from the same group also cause tuberculosis and leprosy.
1830.en	In the meantime, the powers of the incumbent President of the Republic are extended.
1831.en	Only if we isolate the forces acting on a particular body do the advanced potentials make their appearance.
1832.en	No Discrimination Against Persons or Groups The license must not discriminate against any person or group of persons.
1833.en	Since 1956 it has served as the town hall.
1834.en	Treatment, and response to treatment, are also similar.
1835.en	From 2015, the tournament was replaced by the WTA Elite Trophy.
1836.en	It is thought the church's tower is from this same time period.
1837.en	They concluded that there must be a ring system around Uranus.
1838.en	The 1000th asteroid to be numbered was named 1000 Piazzia in his honour.
1839.en	Dengue can occasionally affect several other body systems, either in isolation or along with the classic dengue symptoms.
1840.en	They are highly dependent on water and need to drink every two or three days during summer.
1841.en	Its first flight occurred on 4 April 2009.
1842.en	Coinfection with helminths affects around 800 million people worldwide.
1843.en	However, both the Castle and Park are now under strict protection.
1844.en	His hair hangs down over his eyes.
1845.en	It was visible to the naked eye for a record 18 months, twice as long as the previous record holder, the Great Comet of 1811.
1846.en	Shortly thereafter, he began posting his music on YouTube and SoundCloud.
1847.en	He has studied galaxies with the Schmidt telescope at the Karl Schwarzschild Observatory in Tautenburg, Germany.
1848.en	It is named after Louis Néel, who received the 1970 Nobel prize in physics for his work in the area.
1849.en	Each MESMA system costs around US$50–60 million.
1850.en	For these reasons, he was suspicious to the new Communist regime.
1851.en	The s-block comprises the first two groups (alkali metals and alkaline earth metals) as well as hydrogen and helium.
1852.en	Corpulence is, however, absent in both Greek and Roman art, probably in keeping with their ideals regarding moderation.
1853.en	In modern Western culture, excess weight is often regarded as unattractive, and obesity is commonly associated with various negative stereotypes.
1854.en	He prefers shooting the ball with his right foot.
1855.en	The Internal Market Information System (IMI) is an IT-based network that links public bodies in the European Economic Area.
1856.en	The name 99U comes from the Thomas Edison quote that "Genius is 1% inspiration, 99% perspiration."
1857.en	In a private ceremony in 2001 he was received into the Catholic Church, and therefore forfeited his right of succession to the British throne.
1858.en	The imperial army arrived in October and scattered the Vikings.
1859.en	This kind of intensive military administration corresponded to the Austrian Military Frontier on the other side of the same border.
1860.en	Rhinovirus-caused colds are most infectious during the first three days of symptoms; they are much less infectious afterwards.
1861.en	Chronic bronchitis is defined as a productive cough that lasts for three months or more per year for at least two years.
1862.en	A referendum on independence for Southern Sudan was held from 9 to 15 January 2011.
1863.en	It is also very likely that there were goods left inside the tombs, a way of remembering those who passed away.
1864.en	Palladio died in 1580 and a second architect, Vincenzo Scamozzi, was employed by the new owners to oversee the completion.
1865.en	The city's architecture is a mix of styles.
1866.en	Abstract algebra is the subject area of mathematics that studies algebraic structures, such as groups, rings, fields, modules, vector spaces, and algebras.
1867.en	When the scandal erupts, she returns to her old life.
1868.en	If symptoms do not improve in two or three days, further diagnostic testing may be needed.
1869.en	The use of corticosteroids is controversial.
1870.en	This is primarily due to increasing use of mechanized transportation and a greater prevalence of labor-saving technology in the home.
1871.en	In this film Masuda dressed in Yamamoto's Ready-to-wear collection.
1872.en	The total number of speakers of Gbe languages is between four and eight million.
1873.en	Ankō was assassinated in his third year of reign by Mayowa no Ōkimi (Prince Mayowa), in retaliation for the execution of Mayowa's father.
1874.en	He has conducted wildlife requiems, including for a California Brown Pelican on the berm crest of a beach where the animal had fallen.
1875.en	This is most likely due to rates of smoking in women and men becoming more similar.
1876.en	After the collapse of the Soviet Union, the Cuban economy went into decline.
1877.en	In 2000, the extra weight of obese passengers cost airlines US$275 million.
1878.en	In regions such as Sub-Saharan Africa, the Stone Age was followed directly by the Iron Age.
1879.en	He remained active in and around Paris until around 1848 when he retired from the musical scene.
1880.en	The soil should be well drained.
1881.en	The first narrowing of the Danube lies beyond the Romanian isle of Moldova Veche and is known as the Golubac gorge.
1882.en	The risk is greater in those taking proton pump inhibitors than with H2 antagonists.
1883.en	Atmospheric pressure is the pressure at any given point in the Earth's atmosphere.
1884.en	Malerba held technical and technical management positions with Digital Equipment in Italy and in Europe.
1885.en	Word of their success quickly reached Paris.
1886.en	From this marriage came two sons, Steven and Werner.
1887.en	Hitler appears to have had a high opinion of him.
1888.en	He achieved his first win at Valencia.
1889.en	It was famous amongst the Greeks.
1890.en	The High Representative of the Union for Foreign Affairs and Security Policy also takes part in its meetings.
1891.en	It is separated from the Moscow Kremlin by Red Square.
1892.en	This world is very similar to the Earth humans live on, except for a few differences.
1893.en	In the beginning God created the heaven and the earth.
1894.en	Temperature control was maintained through thermal insulation and a system of radiators.
1895.en	Agricultural policy and techniques in the United States and Europe have led to lower food prices.
1896.en	Among developed countries, levels of adult obesity, and percentage of teenage children who are overweight, are correlated with income inequality.
1897.en	These aspects of his character contributed greatly to his renown after his death.
1898.en	With Jesus’ sacrifice on the cross, the sins of humans were forgiven, but their sinful nature was not eradicated.
1899.en	The same is true of the F-35B Lightning II, which demonstrated VTOL capability in test flights but is operationally STOVL.
1900.en	Perfumes are a common cause of acute attacks in women and children.
1901.en	By convention, the standard form defines a minimization problem.
1902.en	Electrocardiogram testing is done to check for evidence that the heart is under strain from high blood pressure.
1903.en	According to the 1996 Guinness Book of World Records, it is the longest word published in the German language.
1904.en	In the outer Solar System, comets remain frozen and are extremely difficult or impossible to detect from Earth due to their small size.
1905.en	Wham! were an English pop duo consisting of George Michael and Andrew Ridgeley, formed in London in 1981.
1906.en	It can also be applied to wounds to prevent infection.
1907.en	Infection with one serotype is thought to produce lifelong immunity to that type, but only short-term protection against the other three.
1908.en	The Allied Control Council proclaimed the dissolution of the Prussian state.
1909.en	This led to a defeat of the French cavalry.
1910.en	It traded primarily in wine, wood and cereals.
1911.en	The alcohol content usually ranges from 4.4% to 5.4%.
1912.en	During his tenure as Chief Rabbi of Frankfurt am Main, he regularly wrote articles for "Die Jüdische Allgemeine" and the bi-monthly magazine "Die Gemeinde".
1913.en	The respiratory syncytial virus (RSV), on the other hand, is contracted by direct contact and airborne droplets.
1914.en	There are ongoing programs working on a dengue vaccine to cover all four serotypes.
1915.en	There is no distinction between subject and object.
1916.en	His father Schmuel Daum was an important educator, writer, and communal figure, hailing from a prominent rabbinic family from Poland and Bohemia.
1917.en	In 1450 he received permission to lead an army for King Alfonso of Naples in Lombardy, with the intent of gaining some possessions for himself.
1918.en	One of the concerns is that a vaccine could increase the risk of severe disease through antibody-dependent enhancement (ADE).
1919.en	In adults, a fever is generally not present but it is common in infants and young children.
1920.en	The license must not restrict anyone from making use of the program in a specific field of endeavor.
1921.en	Project leader Andrew Eddie wrote a letter that appeared on the announcements section of the public forum at mamboserver.com.
1922.en	In the same year, she hosted Saturday Night Live.
1923.en	Former Prime Minister and playwright Alfred Sant considered it Sammut's "masterpiece", and British author and poet Marjorie Boulton called it "a colossal work".
1924.en	A BMI above 32 kg/m2 has been associated with a doubled mortality rate among women over a 16-year period.
1925.en	The Mohorovičić discontinuity, usually referred to as the Moho, is the boundary between the Earth's crust and the mantle.
1926.en	With an area of 238,400 square kilometers, Romania is the twelfth-largest country in Europe.
1927.en	His successor Muhammad I al-Mustansir took the title of Caliph.
1928.en	Bismuth subsalicylate, an insoluble complex of trivalent bismuth and salicylate, can be used in mild to moderate cases, but salicylate toxicity is theoretically possible.
1929.en	As he was still a minor at the time, his mother had to sign the contract on his behalf.
1930.en	The aureus was a gold coin of ancient Rome originally valued at 25 pure silver denarii.
1931.en	Before becoming Director General in 2007, he was Deputy Director General and Director for Research, as well as Head of Special Collections.
1932.en	Prior to the Nagorno-Karabakh War, the economy of Stepanakert was mainly based on food-processing industries, silk weaving and winemaking.
1933.en	That same year, he made his first visit to Paris, where he met Pablo Picasso, whom the young Dalí revered.
1934.en	George later became a strong ally of Emperor Maximilian I and supported his campaigns in Swabia, Switzerland, Geldern and Hungary.
1935.en	We are black and we are proud of being black.
1936.en	James Naismith published the rules of basketball.
1937.en	In some fields, such as mathematics, computer science, economics, and the social sciences, the NSF is the major source of federal backing.
1938.en	Catalonia consists of four provinces: Barcelona, Girona, Lleida, and Tarragona.
1939.en	The Vasari Corridor was built in five months by order of Duke Cosimo I de' Medici, to the design of Giorgio Vasari.
1940.en	The book was probably produced in the scriptorium in the Abbey of Echternach.
1941.en	The Codex Eyckensis was used at the convent to study and also to promulgate the teachings of Christ.
1942.en	Freud considered this realization a defining moment in a series of transitions toward a mature female sexuality and gender identity.
1943.en	Several further agreements were signed, with the intention of providing greater political, economic, and social integration.
1944.en	Even simple unicellular organisms such as bacteria possess a rudimentary immune system in the form of enzymes that protect against bacteriophage infections.
1945.en	Rákosi once again became the leader of Hungary.
1946.en	While a fugitive, he was elected three times to the House of Commons of Canada, although he never assumed his seat.
1947.en	The Italian invasion of Albania was a brief military campaign by the Kingdom of Italy against the Albanian Kingdom.
1948.en	He discovered the asteroid 55 Pandora in 1858.
1949.en	In addition, he closely studied the affairs of the Riksdag, Government, and Ministry for Foreign Affairs.
